sci_data_set_name,sci_targname,sci_hapnum,sci_haspnum,sci_hslanum,sci_instrume,sci_aper_1234,sci_spec_1234,sci_actual_duration,sci_start_time,sci_pep_id,sci_pi_last_name,sci_ra,sci_dec,sci_refnum,sci_central_wavelength,sci_release_date,sci_stop_time,sci_preview_name,scp_scan_type,sci_hlsp
IBF309H1Q,M31-B01-F09-IR,0,0,0,WFC3  ,IR-FIX,F160W,499.231873,2010-12-25T14:32:34.103000,12058,DALCANTON,10.74836116682,41.24792978967,32,15369.176,2010-12-25T20:59:10,2010-12-25T14:40:53.333000,IBF309H1Q,,
IBF309030,M31-B01-F09-UVIS,1,0,0,WFC3  ,UVIS-CENTER,F336W,1350.0,2010-12-25T11:23:02.600000,12058,DALCANTON,10.74957849313,41.24796725396,32,3354.57375,2010-12-25T16:10:12,2010-12-25T12:32:10.583000,IBF309030,,9
IBF309040,M31-B01-F09-UVIS,1,0,0,WFC3  ,UVIS-CENTER,F275W,1010.0,2010-12-25T11:34:43.593000,12058,DALCANTON,10.74957849313,41.24796725396,32,2706.4933,2010-12-25T16:10:18,2010-12-25T12:45:48.597000,IBF309040,,9
JBF312010,M31-B01-F09-WFC,1,0,0,ACS   ,WFC,CLEAR1L;F814W,1520.0,2010-07-24T11:25:35.270000,12058,DALCANTON,10.7443323924,41.24424672862,32,8045.5298,2010-07-24T17:06:24,2010-07-24T12:05:58.303000,JBF312010,,9
JBF312020,M31-B01-F09-WFC,1,0,0,ACS   ,WFC,F475W;CLEAR2L,1720.0,2010-07-24T12:54:49.257000,12058,DALCANTON,10.74433374724,41.24424647618,32,4746.957,2010-07-24T17:50:43,2010-07-24T13:38:16.320000,JBF312020,,9
IBF310050,M31-B01-F10-IR,1,0,0,WFC3  ,IR-FIX,F160W,1596.925048,2010-07-22T00:17:38.837000,12058,DALCANTON,10.70734416667,41.2613,32,15369.176,2010-07-22T13:10:49,2010-07-22T02:05:16.083000,IBF310050,,9
IBF310P2Q,M31-B01-F10-IR,0,0,0,WFC3  ,IR-FIX,F110W,699.232483,2010-07-22T00:25:19.827000,12058,DALCANTON,10.70726390455,41.26124607292,32,11534.459,2010-07-22T13:01:19,2010-07-22T00:36:59.060000,IBF310P2Q,,1
IBF310030,M31-B01-F10-UVIS,1,0,0,WFC3  ,UVIS-CENTER,F336W,1250.0,2010-07-21T22:42:39.333000,12058,DALCANTON,10.70609667067,41.26121051023,32,3354.57375,2010-07-22T12:57:46,2010-07-21T23:14:30.323000,IBF310030,,9
IBF310040,M31-B01-F10-UVIS,1,0,0,WFC3  ,UVIS-CENTER,F275W,925.0,2010-07-21T22:54:20.327000,12058,DALCANTON,10.70609667067,41.26121051023,32,2706.4933,2010-07-22T13:00:56,2010-07-21T23:26:43.317000,IBF310040,,9
JBF307010,M31-B01-F10-WFC,1,0,0,ACS   ,WFC,CLEAR1L;F814W,1715.0,2010-12-22T02:06:01.507000,12058,DALCANTON,10.71130570014,41.2648121774,32,8045.5303,2010-12-22T08:19:29,2010-12-22T03:40:14.553000,JBF307010,,9
JBF307020,M31-B01-F10-WFC,1,0,0,ACS   ,WFC,F475W;CLEAR2L,1900.0,2010-12-22T04:21:43.520000,12058,DALCANTON,10.71130434396,41.2648124271,32,4746.957,2010-12-22T10:22:44,2010-12-22T05:08:10.553000,JBF307020,,9
IBF311050,M31-B01-F11-IR,1,0,0,WFC3  ,IR-FIX,F160W,1596.925048,2010-07-23T22:31:08.820000,12058,DALCANTON,10.66724375,41.27472222222,32,15369.176,2010-07-24T03:39:25,2010-07-23T23:15:46.067000,IBF311050,,9
IBF311BSQ,M31-B01-F11-IR,0,0,0,WFC3  ,IR-FIX,F110W,699.232483,2010-07-23T22:38:49.843000,12058,DALCANTON,10.66716347138,41.27466829514,32,11534.459,2010-07-24T03:24:40,2010-07-23T22:50:29.077000,IBF311BSQ,,1
IBF311030,M31-B01-F11-UVIS,1,0,0,WFC3  ,UVIS-CENTER,F336W,1250.0,2010-07-23T21:01:29.350000,12058,DALCANTON,10.66599599752,41.27463273244,32,3354.57375,2010-07-24T01:09:43,2010-07-23T21:33:20.340000,IBF311030,,9
IBF311040,M31-B01-F11-UVIS,1,0,0,WFC3  ,UVIS-CENTER,F275W,925.0,2010-07-23T21:13:10.340000,12058,DALCANTON,10.66599599752,41.27463273244,32,2706.4933,2010-07-24T01:09:50,2010-07-23T21:45:33.330000,IBF311040,,9
JBF308010,M31-B01-F11-WFC,1,0,0,ACS   ,WFC,CLEAR1L;F814W,1715.0,2010-12-24T21:12:08.570000,12058,DALCANTON,10.67118117951,41.27823437153,32,8045.5303,2010-12-25T02:49:30,2010-12-24T22:53:37.617000,JBF308010,,9
JBF308020,M31-B01-F11-WFC,1,0,0,ACS   ,WFC,F475W;CLEAR2L,1900.0,2010-12-24T23:31:55.577000,12058,DALCANTON,10.67117982306,41.27823462123,32,4746.957,2010-12-25T04:42:15,2010-12-25T01:23:38.610000,JBF308020,,9
